Datetime,Tweet ID,Tweet,Location,Username,Sentiment
2022-03-15 20:09:03+00:00,1503825623499874309,Another active #Phishing targeting Bank of AmericaURL: hxxp://navimumbaiconnect.com/#onpatrol4malware (bot generated) https://t.co/CF8pLs3kcM,USA and Brazil,MalwarePatrol,1
2022-03-15 20:08:00+00:00,1503825361246769162,#bankofamerica be pissing me off with that damn waiting 4 days to process shit i been paid for 🤬😤,Cincinnati ✈️ Atl,KavyInDaKlutch,1
2022-03-15 20:05:37+00:00,1503824759485837316,"Here are eight of the best defense stocks to buy now, according to @BankofAmerica.  https://t.co/9fdsdSkloA","Washington, DC",USNewsInvesting,3
2022-03-15 20:04:22+00:00,1503824448570503180,Laut der monatlichen Umfrage von Bank of America befürchten aktuell 60 Prozent der institutionellen Anleger einen Bärenmarkt. Auch das Interesse am Aktienmarkt nimmt seit einem Jahr stetig ab. Für langfristig orientierte Anleger sind das erst mal gute Nachrichten.,Deutschland,daniel_invest_,3
2022-03-15 20:04:17+00:00,1503824425631764491,"This waiter was trying to give back my card that I paid with and goes ""bank of america??? I know that's not your name but I don't know how to say it""","Atlanta, GA",r3niah,1
2022-03-15 20:01:09+00:00,1503823638373482505,@Stocktwits $BAC if you knew how much I paid in taxes you too would call me Bank of America,,BlastaStar,1
2022-03-15 19:59:35+00:00,1503823243127496707,Celent Names Bank of America a Leader in Wealth Management Innovation https://t.co/kHX8FdA7Bj,,MamukaPhochkhua,3
2022-03-15 19:57:09+00:00,1503822632403312647,"Международные портфельные управляющие серьезно обеспокоены последствиями спецоперации России на Украине.  Об этом свидетельствует мартовский опрос, проведенный Bank of America (BofA).https://t.co/R9UiYSPxmU","Пресненская наб., 10, блок C",kommersant,2
2022-03-15 19:56:58+00:00,1503822585141903362,"@BankofAmerica On hold with yr fraud department for over 40 min after chatting with a helpless agent for ten min. You asked me to call the merchant, which i did and they said to call you back. Midweek you are making us wait as if you want us to get frustrated and hang up/.","Brooklyn, NY",BBB65563510,1
2022-03-15 19:55:32+00:00,1503822223097970701,Just wondering if Ryan Coogler stopped doing business with @BankofAmerica 🙃,,SanaaHarper,1
2022-03-15 19:53:28+00:00,1503821704576987136,"This is the Anthropocene is on view at Harris Center | Bank of America Gallery, Folsom, CA📍 View the photo gallery &amp; read more: https://t.co/mVp6lbG2PK https://t.co/IEXgclBDmz",,ceramicmagazine,2
2022-03-15 19:46:57+00:00,1503820063693938688,"@JessamynStan @WellsFargo @BankofAmerica I have accounts at both and if comparing, BofA wins for ease of use and access to help and information when I need it.",A little here. A little there.,TracyClark_TLC,3
2022-03-15 19:46:50+00:00,1503820036074582028,"Nothing like @BankofAmerica showing  their customers that their time isn’t important. 1 teller, 3 people smoozin’ up at the front computer, and 15-20 customers waiting over an hour to get to the teller. It’s cool. Not like I have a whole business to run or anything. 🤬🤬🤬","Fayetteville, NC",BryanJClifford,1
2022-03-15 19:45:17+00:00,1503819645605740548,"I did leave #BankOfAmerica 5yrs ago I had them 20yrs Unfortunately, I picked up #Chase which I have not had any problems with but I just don't like their corrupt tactics I read and hear about Their all full of shit https://t.co/vWr5aEIQFC",Henderson Nv,StCyrlyMe2,1
2022-03-15 19:40:01+00:00,1503818320306397188,"Washington STEM is grateful for our partnership with @BankofAmerica. Through their support, we’re strengthening Career Pathways programs across the state. #Gratitude #BankofAmerica  https://t.co/s5CWVblLww https://t.co/pqz7gxL829","Seattle, WA",washingtonstem,3
2022-03-15 19:37:21+00:00,1503817648450117632,What a day so far! After battling #BankofAmerica (America’s most usurous and unethical bank) &amp; being extorted for $2000 cash I should be working on reports. Instead I’m counting off how many different gods are called #Zeus. So far I’m up to 15; it’s a common name among deities https://t.co/8qor5QZ6t9,"San Diego, CA",MathewSydney,1
2022-03-15 19:37:20+00:00,1503817642620170247,Bank of America when they decide to randomly put over $1000 in my account on hold for literally no reason other than hoping my account overdrafts https://t.co/sAbF7ituxo,"New York, NY",chromacatcherr,1
2022-03-15 19:36:08+00:00,1503817341259427842,Bank of America said stock splits are followed by a 25% average price return in the following 12 months.,"Texas, USA",Jer1dah,2
2022-03-15 19:34:33+00:00,1503816945241509888,"Y’all, if you had to pick between @WellsFargo &amp; @BankofAmerica for a chill checking account that you can access all over the US, which would you pick? Other options are welcome, those are just the devils I know.","Durham, NC",JessamynStan,1
2022-03-15 19:33:38+00:00,1503816713942429697,@hollyaoneill My family has sent several emails to your office and not a single one has been returned. We are disgusted and appalled that a Bank of America leader would treat customers of 15 years like this. You must be better.,,JamesRoman30,1
2022-03-15 19:30:11+00:00,1503815846258307074,Holly O’Neill @hollyaoneill is a fraud. She is a customer support executive but her office does anything but serve customers. We have been emailing her office for months and not a single response. That’s #BankofAmerica customer support for you. @BofA_Help,,JamesRoman30,1
2022-03-15 19:30:05+00:00,1503815818039250948,Bank of America,Sinaloa,TeresaMendozaUS,2
2022-03-15 19:29:15+00:00,1503815608466649092,"@bryantparknyc @BankofAmerica @UrbanspaceNYC @PrimeVideo If I get to go to NYC again, I definitely want to visit Bryant Park!!",,PicardLucy,2
2022-03-15 19:25:50+00:00,1503814748747583489,"$BAC  FWP  Bank Of America   (15 Mar, 3:24pm)📄 Free writing prospectushttps://t.co/C7fuF5GWs6#BAC #FWP #BankOfAmerica","Toronto, Canada",investor_feed,2
2022-03-15 19:25:48+00:00,1503814742950830081,$BAC 📜 SEC Form FWP filed by Bank of America Corporationhttps://t.co/1XFf3BTN7Q45 seconds delayed.,,quantisnow,2
2022-03-15 19:25:12+00:00,1503814591679283200,@Jan_Ham @StevenTDennis @coinstar @BankofAmerica Thanks for the tip :),New Jersey,sarakenny,3
2022-03-15 19:24:18+00:00,1503814364222029826,"@amy_zeek @BankofAmerica I'm blessed to have had good trainers... it's a horrible company, but the people who helped me along made me comfy in those scenarios.. hope you get someone who was trained like me","Las Cruces, NM",BankBetterGuy,1
2022-03-15 19:23:37+00:00,1503814193895649281,@TheBLKMermaids Coogler should’ve withdrawn all the millions he has with #BankofAmerica and closed his account!,"Detroit, MI (Da ""D"") ",They_Luv2HateMe,1
2022-03-15 19:23:35+00:00,1503814182348619776,"@amy_zeek @BankofAmerica Yeah, with a situation like that... if the check from the attorney is written in such a way that doesn't match their title:ex:NephewAmy POA/GUARDIAN on the checkbutNephewAmy   with no guardianship on the bank account or vice versa they immediately think OMG FRAUD!!!","Las Cruces, NM",BankBetterGuy,1
2022-03-15 19:23:20+00:00,1503814120017215490,Keep your eyes open for a Bank Of America scam text,STL,gb_i_am,1
2022-03-15 19:22:07+00:00,1503813814415810561,"@sarakenny @StevenTDennis @coinstar @BankofAmerica How to miss the point, lol. Beast of the Apocalypse never fails to disadvantage customers ... Debbie, see if a local credit union does the same as mine, offer free use of a coin counting machine. My CU keeps theirs in the front lobby.",Inlandia,Jan_Ham,1
2022-03-15 19:19:43+00:00,1503813209182011392,"You're date parser is stupid if it requires 01/01/2022 instead of accepting 1/1/2022.  To make it doubly stupid, their calendar selector understood 1/1/2022, so Just had to click on the selected ""date"" which added the zeros and then it worked.Looks at bank of america.","Oakland, CA",encthenet,1
2022-03-15 19:17:00+00:00,1503812524893900802,"Chase, Wells Fargo, Bank of America, and Citibank customers! Are you tired of your money being used to invest in the destruction of our planet? Sign-on to this letter to your bank CEO to demand that your bank stops funding climate chaos: https://t.co/FAMkRjoncr","San Francisco, Sonoma County",callimanis,1
2022-03-15 19:16:33+00:00,1503812413862604800,"7 Craintes d’une récession mondialeUne nouvelle enquête de la Bank of America (BofA) montre que les investisseurs nerveux ont commencé à accumuler des liquidités en raison des craintes de récession. Selon Michael Hartnett, stratège en chef des investissements chez BofA,",,_2019_nCoV,1
2022-03-15 19:16:07+00:00,1503812302432256000,"Daily reminder that if you keep money in banks such as Bank of America, you are giving prime lenders leverage to short your stocks. $AMC $GME",,FinancialRevol3,1
2022-03-15 19:14:10+00:00,1503811815066804226,I need to leave Bank of America alone.,,BeautyandSoul__,1
2022-03-15 19:13:43+00:00,1503811698595147786,@Naturalmed777 @WillCabell Yes my insider told me the same thing. He’s the janitor for Bank of America,,FxFarsh,2
2022-03-15 19:13:26+00:00,1503811630957748226,"It’s been a week since @BankofAmerica #wintervillage closed for the season. Thank you to our partner Bank of America for their generous support, Holiday Shops by @UrbanspaceNYC, Lodge &amp; Igloos partner @PrimeVideo, A+ staff &amp; visitors. Winter Village will return this fall! 🙏⛸🎄 https://t.co/oYui0IyCKF","New York, NY",bryantparknyc,3
2022-03-15 19:12:15+00:00,1503811330653917185,@votolatino I have never worked anywhere where this is true including Bank of America.,Los Angeles,Christo29796111,1
