Timestamp,Tweet ID,Tweet,Location,Username
2022-04-27 14:42:55+00:00,1519326227630276608,"@MerrillLynch A back stabbing commie business that steal up all the assets from We the People, when a gov't made inflation &amp; recession 2 help Gov't &amp; big investment firms steal assets away. The situation was deliberately made, as many may recall, this was also done during the Obama Presidency!",,Rosemar48893330
2022-04-27 13:00:01+00:00,1519300332320264194,"""During past inversions of the nominal curve that were followed by a recession, the real yield curve also inverted, signaling tight financial conditions. With real yields still in negative territory and the curve upward sloping."" #bonds (@MerrillLynch) https://t.co/DxKet4GEoX https://t.co/slyVoRc0K9",,MTSInsights
2022-04-27 08:14:06+00:00,1519228382084481029,@MerrillLynch Oh. 💛,,JayelleHeir
2022-04-27 00:43:33+00:00,1519114995291893763,"@MerrillLynch Leo Stevenson, glad my money is with your team. https://t.co/4Ym72NhB8X",,susanraeg
2022-04-26 20:32:58+00:00,1519051932882640896,@askRegions and @MerrillLynch POO BOX. DROP SCORPIONS.,"New York, NY",rbabanksoleprop
2022-04-26 19:01:35+00:00,1519028935807410178,How can investors adapt to an environment of higher nominal growth and interest rates? Learn more in the 4/25 Capital Market Outlook report. https://t.co/XWIHmqWjNk,,MerrillLynch
2022-04-26 18:22:09+00:00,1519019014550597632,@MerrillLynch your IVR phone system sucks! 800.637.7455,United States,bye_ams
2022-04-26 16:35:28+00:00,1518992164608524291,"LCID trades @ 288x sales, im sure This is fine!!@Vanguard_FA @StateStreet @lindsaywise @CitronResearch @muddywatersre @PowerLunch @Fidelity @FinanceLancelot @StealthQE4 @Quinnvestments @MorganStanley  @JPMorganAM @CanaccorGenuity @MerrillLynch  @Wedbush @MadMoneyOnCNBC @FT https://t.co/D1jWb5B8gL https://t.co/ci1pvfzvHq","Tampa, FL",Tyler929394
2022-04-26 16:29:24+00:00,1518990638032859136,@Vanguard_Group @Voya  @EdwardJones @TRowePrice @CharlesSchwab @MerrillLynch when bitcoin in 401ks?,,Dylan21million
2022-04-26 14:46:14+00:00,1518964676524134400,"Big news in wealthtech here - @LPL hires Kabir Sethi, the architect of @MerrillLynch wealth management technology platform. https://t.co/latOMjPGXs",New York City,djamesarmstrong
2022-04-26 13:16:28+00:00,1518942087605014528,@MerrillLynch  şu #tuprs ı can çekiştirmeyi bırak artık derecemiz yükseldi 🤒😡,"Adana, TÜRKİYE",koylumehmet01
2022-04-26 06:29:57+00:00,1518839784432615425,@MerrillLynch can we get Bitcoin for our 401k accounts ?,"Texas, USA",yallaretrash_
2022-04-26 01:46:50+00:00,1518768533651562497,@thatdaneshguy @MerrillLynch You didn't identify shit! Stop fucking lying.,,AmandaUnicorn9
2022-04-25 23:45:36+00:00,1518738025546661888,@MerrillLynch @BankofAmerica there is bank of and merril money #hekts they can take a bi and take it for 5 dollars #bist,,Analiz1224
2022-04-25 20:10:15+00:00,1518683828579090435,Considering relocation in #retirement? Here's what you need to know about states with low or no income tax.,,MerrillLynch
2022-04-25 17:13:56+00:00,1518639459264122880,@MerrillLynch I have a question is there anyway you can help me,"Las Vegas, NV",dBADDestDUH
2022-04-25 15:58:08+00:00,1518620382860914692,@WhittFromDaSouf @MerrillLynch Oouu okay they are great as well! Nice.,"Charlotte, NC",justryy14
2022-04-25 15:46:04+00:00,1518617346872598530,@justryy14 Work for the financial department of Bank of America now. @MerrillLynch,"Rock Hill, SC",WhittFromDaSouf
2022-04-25 14:05:25+00:00,1518592018259189761,"@CalltoActivism @MerrillLynch Hi  guys, chat?",,Tracie_Mcclai
2022-04-25 13:59:03+00:00,1518590415607406593,@MerrillLynch why are my online account and my app still showing Friday’s close prices?,"Somerville, MA",crzychcknlady
2022-04-25 13:48:21+00:00,1518587722180567043,@MerrillLynch unacceptable https://t.co/DGjq461QR8,Atlanta,JhnZig
2022-04-25 10:22:49+00:00,1518535998132604928,@MerrillLynch We cant let these criminals get away with taking money I need your help,"Lafayette, LA",BB42337478
2022-04-25 10:21:56+00:00,1518535775582932992,@MerrillLynch We need to stop cyber criminals from messing with accounts and spying on people you really need to help get the FBI National security involved cause these people really need to be locked up stealing money they are criminals,"Lafayette, LA",BB42337478
2022-04-25 09:42:46+00:00,1518525920239394816,@Analiz1224 @MerrillLynch @OyakYatirim Merril tavana süremediyde genelde elindekileri çıkartır,,MMeroca
2022-04-25 03:26:26+00:00,1518431211168882695,@giohakim_ @MerrillLynch 🏴‍☠️🤣🤦‍♂️🥸 man that was the toughest Tweet ever! THE G MACHINE IS ALL OVER THE PLACE,,8_rezin
