Sentiment,Service,Tweet,Timestamp,Location
negative,Other,@thatdaneshguy @MerrillLynch You didn't identify shit! Stop fucking lying.,2022-04-26 01:46:50+00:00,
negative,Other,@MerrillLynch @BankofAmerica there is bank of and merril money #hekts they can take a bi and take it for 5 dollars #bist,2022-04-25 23:45:36+00:00,
negative,Other,Considering relocation in #retirement? Here's what you need to know about states with low or no income tax.,2022-04-25 20:10:15+00:00,
negative,Other,@MerrillLynch I have a question is there anyway you can help me,2022-04-25 17:13:56+00:00,"Las Vegas, NV"
negative,Other,@WhittFromDaSouf @MerrillLynch Oouu okay they are great as well! Nice.,2022-04-25 15:58:08+00:00,"Charlotte, NC"
neutral,Other,@justryy14 Work for the financial department of Bank of America now. @MerrillLynch,2022-04-25 15:46:04+00:00,"Rock Hill, SC"
negative,Other,"@CalltoActivism @MerrillLynch Hi  guys, chat?",2022-04-25 14:05:25+00:00,
negative,App,@MerrillLynch why are my online account and my app still showing Friday’s close prices?,2022-04-25 13:59:03+00:00,"Somerville, MA"
negative,Other,@MerrillLynch unacceptable https://t.co/DGjq461QR8,2022-04-25 13:48:21+00:00,Atlanta
negative,Other,@MerrillLynch We cant let these criminals get away with taking money I need your help,2022-04-25 10:22:49+00:00,"Lafayette, LA"
negative,Other,@MerrillLynch We need to stop cyber criminals from messing with accounts and spying on people you really need to help get the FBI National security involved cause these people really need to be locked up stealing money they are criminals,2022-04-25 10:21:56+00:00,"Lafayette, LA"
negative,Other,@Analiz1224 @MerrillLynch @OyakYatirim Merril tavana süremediyde genelde elindekileri çıkartır,2022-04-25 09:42:46+00:00,
negative,Other,@giohakim_ @MerrillLynch 🏴‍☠️🤣🤦‍♂️🥸 man that was the toughest Tweet ever! THE G MACHINE IS ALL OVER THE PLACE,2022-04-25 03:26:26+00:00,
